"","CBSA.Code","CBSA.Title","Eligibles","Enrolled","Penetration","bins"
"74","13100","Beatrice, NE",5238,362,0.069,0.1
"75","13140","Beaumont-Port Arthur, TX",69444,22691,0.327,0.4
"76","13180","Beaver Dam, WI",15700,4844,0.309,0.4
"77","13220","Beckley, WV",29511,7093,0.24,0.3
"78","13260","Bedford, IN",9811,1547,0.158,0.2
"79","13300","Beeville, TX",4283,1378,0.322,0.4
"80","13340","Bellefontaine, OH",8915,2543,0.285,0.3
"81","13380","Bellingham, WA",37553,12973,0.345,0.4
"82","13420","Bemidji, MN",7672,3149,0.41,0.5
"83","13460","Bend-Redmond, OR",35038,10415,0.297,0.3
"84","13500","Bennettsville, SC",5902,1110,0.188,0.2
"85","13540","Bennington, VT",8966,633,0.071,0.1
"86","13620","Berlin, NH-VT",10974,369,0.034,0.1
"87","13660","Big Rapids, MI",8638,2923,0.338,0.4
"88","13700","Big Spring, TX",5299,811,0.153,0.2
"89","13720","Big Stone Gap, VA",15946,5220,0.327,0.4
"90","13740","Billings, MT",29420,5979,0.203,0.3
"91","13780","Binghamton, NY",52860,18451,0.349,0.4
"92","13820","Birmingham-Hoover, AL",210331,84426,0.401,0.5
"93","13900","Bismarck, ND",20278,4148,0.205,0.3
"94","13940","Blackfoot, ID",6968,1511,0.217,0.3
"95","13980","Blacksburg-Christiansburg-Radford, VA",31149,5059,0.162,0.2
"96","14010","Bloomington, IL",26161,6912,0.264,0.3
"97","14020","Bloomington, IN",23081,3918,0.17,0.2
"98","14100","Bloomsburg-Berwick, PA",17604,7399,0.42,0.5
"99","14140","Bluefield, WV-VA",27420,7149,0.261,0.3
"100","14180","Blytheville, AR",8481,1540,0.182,0.2
"101","14220","Bogalusa, LA",9923,2385,0.24,0.3
"102","14260","Boise City, ID",99141,46091,0.465,0.5
"103","14340","Boone, IA",5290,639,0.121,0.2
"104","14380","Boone, NC",8177,2164,0.265,0.3
"105","14420","Borger, TX",3756,527,0.14,0.2
"106","14460","Boston-Cambridge-Newton, MA-NH",776916,139792,0.18,0.2
"107","14500","Boulder, CO",41584,15198,0.365,0.4
"108","14540","Bowling Green, KY",27566,6051,0.22,0.3
"109","14580","Bozeman, MT",12103,2269,0.187,0.2
"110","14620","Bradford, PA",9775,1972,0.202,0.3
"111","14660","Brainerd, MN",23847,12582,0.528,0.6
"112","14700","Branson, MO",21204,6905,0.326,0.4
"113","14720","Breckenridge, CO",2778,260,0.094,0.1
"114","14740","Bremerton-Silverdale, WA",46134,9112,0.198,0.2
"115","14780","Brenham, TX",7333,1190,0.162,0.2
"116","14820","Brevard, NC",9291,2245,0.242,0.3
"117","14860","Bridgeport-Stamford-Norwalk, CT",144598,30870,0.213,0.3
"118","15020","Brookhaven, MS",7068,748,0.106,0.2
"119","15060","Brookings, OR",7784,786,0.101,0.2
"120","15100","Brookings, SD",3886,614,0.158,0.2
"121","15180","Brownsville-Harlingen, TX",54505,19146,0.351,0.4
"122","15220","Brownwood, TX",8471,1427,0.168,0.2
"123","15260","Brunswick, GA",22019,5282,0.24,0.3
"124","15340","Bucyrus, OH",10019,2838,0.283,0.3
"125","15380","Buffalo-Cheektowaga-Niagara Falls, NY",230933,128131,0.555,0.6
"126","15420","Burley, ID",6877,1591,0.231,0.3
"127","15460","Burlington, IA-IL",10557,854,0.081,0.1
"128","15500","Burlington, NC",29142,14872,0.51,0.6
"129","15540","Burlington-South Burlington, VT",35469,2832,0.08,0.1
"130","15580","Butte-Silver Bow, MT",7123,1028,0.144,0.2
"131","15620","Cadillac, MI",10670,2483,0.233,0.3
"132","15660","Calhoun, GA",9231,1761,0.191,0.2
"133","15680","California-Lexington Park, MD",14073,166,0.012,0.1
"134","15700","Cambridge, MD",7426,100,0.013,0.1
